Pavarde             Vardas              ND1       ND2       ND3       ND4       ND5       Egzaminas           Galutinis (Vid.)    Galutinis (Med.)    
Pavarde766          Vardas766           4         6         7         9         10        7                   7.1                 7                   
Pavarde767          Vardas767           2         4         5         5         8         5                   4.9                 5                   
Pavarde768          Vardas768           2         3         5         6         9         7                   6.2                 6.2                 
Pavarde769          Vardas769           2         4         7         8         9         3                   4.2                 4.6                 
Pavarde770          Vardas770           1         2         9         10        10        1                   3.2                 4.2                 
Pavarde771          Vardas771           2         3         4         6         10        4                   4.4                 4                   
Pavarde772          Vardas772           1         4         8         8         9         9                   7.8                 8.6                 
Pavarde773          Vardas773           1         2         6         6         10        7                   6.2                 6.6                 
Pavarde774          Vardas774           2         4         8         10        10        3                   4.5                 5                   
Pavarde775          Vardas775           7         7         7         8         9         2                   4.2                 4                   
Pavarde776          Vardas776           1         3         4         5         9         4                   4.2                 4                   
Pavarde777          Vardas777           2         2         4         6         6         2                   2.8                 2.8                 
Pavarde778          Vardas778           1         3         8         9         10        5                   5.5                 6.2                 
Pavarde779          Vardas779           1         3         4         7         9         2                   3.1                 2.8                 
Pavarde780          Vardas780           2         4         6         10        10        1                   3.2                 3                   
Pavarde781          Vardas781           8         9         9         9         10        9                   9                   9                   
Pavarde782          Vardas782           2         3         7         7         10        3                   4.1                 4.6                 
Pavarde783          Vardas783           1         2         3         7         10        10                  7.8                 7.2                 
Pavarde784          Vardas784           1         3         4         5         7         9                   7                   7                   
Pavarde785          Vardas785           3         7         8         8         8         3                   4.5                 5                   
Pavarde786          Vardas786           1         1         6         7         8         4                   4.2                 4.8                 
Pavarde787          Vardas787           1         2         3         5         5         4                   3.7                 3.6                 
Pavarde788          Vardas788           6         8         10        10        10        5                   6.5                 7                   
Pavarde789          Vardas789           1         2         3         8         10        2                   3.1                 2.4                 
Pavarde790          Vardas790           1         1         5         7         10        10                  7.9                 8                   
Pavarde791          Vardas791           3         4         6         7         10        1                   3                   3                   
Pavarde792          Vardas792           1         4         7         7         8         3                   4                   4.6                 
Pavarde793          Vardas793           1         3         5         9         9         2                   3.4                 3.2                 
Pavarde794          Vardas794           1         2         5         6         9         7                   6                   6.2                 
Pavarde795          Vardas795           2         3         6         9         10        7                   6.6                 6.6                 
Pavarde796          Vardas796           2         3         4         6         10        10                  8                   7.6                 
Pavarde797          Vardas797           4         6         8         9         9         1                   3.5                 3.8                 
Pavarde798          Vardas798           4         4         4         6         8         9                   7.5                 7                   
Pavarde799          Vardas799           1         5         6         6         8         4                   4.5                 4.8                 
Pavarde800          Vardas800           1         6         7         9         9         6                   6.2                 6.4                 
Pavarde801          Vardas801           1         3         3         3         8         1                   2                   1.8                 
Pavarde802          Vardas802           6         7         8         9         9         1                   3.7                 3.8                 
Pavarde803          Vardas803           2         6         6         8         8         6                   6                   6                   
Pavarde804          Vardas804           1         5         8         8         8         9                   7.8                 8.6                 
Pavarde805          Vardas805           2         4         5         9         10        5                   5.4                 5                   
Pavarde806          Vardas806           2         4         6         8         8         4                   4.6                 4.8                 
Pavarde807          Vardas807           3         3         4         6         8         9                   7.3                 7                   
Pavarde808          Vardas808           2         5         8         10        10        5                   5.8                 6.2                 
Pavarde809          Vardas809           1         1         7         7         8         10                  7.9                 8.8                 
Pavarde810          Vardas810           2         4         4         6         8         5                   4.9                 4.6                 
Pavarde811          Vardas811           3         5         5         9         10        8                   7.4                 6.8                 
Pavarde812          Vardas812           3         6         7         7         9         5                   5.6                 5.8                 
Pavarde813          Vardas813           1         2         2         7         9         4                   4.1                 3.2                 
Pavarde814          Vardas814           3         3         4         6         7         9                   7.2                 7                   
Pavarde815          Vardas815           1         5         8         8         9         3                   4.3                 5                   
Pavarde816          Vardas816           2         3         5         8         9         2                   3.4                 3.2                 
Pavarde817          Vardas817           3         4         4         9         9         10                  8.3                 7.6                 
Pavarde818          Vardas818           1         2         3         4         4         2                   2.3                 2.4                 
Pavarde819          Vardas819           1         2         4         4         4         3                   3                   3.4                 
Pavarde820          Vardas820           1         4         4         5         7         3                   3.5                 3.4                 
Pavarde821          Vardas821           1         3         4         4         7         6                   5.1                 5.2                 
Pavarde822          Vardas822           3         4         4         4         5         7                   5.8                 5.8                 
Pavarde823          Vardas823           1         1         8         9         10        3                   4.1                 5                   
Pavarde824          Vardas824           2         3         6         6         8         5                   5                   5.4                 
Pavarde825          Vardas825           1         3         3         6         8         8                   6.5                 6                   
Pavarde826          Vardas826           5         6         8         9         10        6                   6.6                 6.8                 
Pavarde827          Vardas827           6         7         7         7         9         4                   5.3                 5.2                 
Pavarde828          Vardas828           6         6         6         9         9         3                   4.7                 4.2                 
Pavarde829          Vardas829           3         4         4         6         9         6                   5.7                 5.2                 
Pavarde830          Vardas830           5         6         9         9         10        3                   4.9                 5.4                 
Pavarde831          Vardas831           1         5         9         9         10        5                   5.7                 6.6                 
Pavarde832          Vardas832           2         5         6         6         9         7                   6.4                 6.6                 
Pavarde833          Vardas833           2         3         8         8         9         1                   3                   3.8                 
Pavarde834          Vardas834           5         7         7         8         10        1                   3.6                 3.4                 
Pavarde835          Vardas835           1         2         5         7         9         1                   2.5                 2.6                 
Pavarde836          Vardas836           1         5         5         8         10        1                   2.9                 2.6                 
Pavarde837          Vardas837           1         2         5         7         10        10                  8                   8                   
Pavarde838          Vardas838           3         3         4         5         6         2                   2.9                 2.8                 
Pavarde839          Vardas839           1         2         4         7         10        7                   6.1                 5.8                 
Pavarde840          Vardas840           1         3         4         6         9         5                   4.8                 4.6                 
Pavarde841          Vardas841           1         2         8         9         10        3                   4.2                 5                   
Pavarde842          Vardas842           1         3         5         10        10        10                  8.3                 8                   
Pavarde843          Vardas843           5         7         7         9         10        3                   4.8                 4.6                 
Pavarde844          Vardas844           1         1         1         4         8         2                   2.4                 1.6                 
Pavarde845          Vardas845           1         2         5         8         10        9                   7.5                 7.4                 
Pavarde846          Vardas846           1         5         5         5         9         8                   6.8                 6.8                 
Pavarde847          Vardas847           1         3         5         7         10        5                   5.1                 5                   
Pavarde848          Vardas848           1         2         6         6         9         10                  7.9                 8.4                 
Pavarde849          Vardas849           4         5         5         6         10        1                   3                   2.6                 
Pavarde850          Vardas850           3         4         4         7         9         1                   2.8                 2.2                 
Pavarde851          Vardas851           3         5         7         7         8         8                   7.2                 7.6                 
Pavarde852          Vardas852           1         5         5         7         7         10                  8                   8                   
Pavarde853          Vardas853           2         3         5         6         7         7                   6                   6.2                 
Pavarde854          Vardas854           3         3         4         5         8         10                  7.8                 7.6                 
Pavarde855          Vardas855           1         4         5         6         7         7                   6                   6.2                 
Pavarde856          Vardas856           1         3         5         10        10        2                   3.5                 3.2                 
Pavarde857          Vardas857           3         5         5         6         9         9                   7.6                 7.4                 
Pavarde858          Vardas858           3         3         10        10        10        1                   3.5                 4.6                 
Pavarde859          Vardas859           1         3         5         5         10        4                   4.3                 4.4                 
Pavarde860          Vardas860           3         5         6         8         9         5                   5.5                 5.4                 
Pavarde861          Vardas861           3         7         7         9         10        1                   3.5                 3.4                 
Pavarde862          Vardas862           3         4         4         5         8         4                   4.3                 4                   
Pavarde863          Vardas863           1         1         2         9         10        6                   5.4                 4.4                 
Pavarde864          Vardas864           1         2         7         9         10        4                   4.7                 5.2                 
Pavarde865          Vardas865           2         6         6         7         9         7                   6.6                 6.6                 
Pavarde866          Vardas866           2         4         7         10        10        2                   3.8                 4                   
Pavarde867          Vardas867           5         6         7         7         10        9                   8.2                 8.2                 
Pavarde868          Vardas868           2         2         9         9         10        7                   6.8                 7.8                 
Pavarde869          Vardas869           2         5         7         8         10        7                   6.8                 7                   
Pavarde870          Vardas870           1         2         3         8         9         2                   3                   2.4                 
Pavarde871          Vardas871           3         4         6         8         9         4                   4.8                 4.8                 
Pavarde872          Vardas872           2         2         3         3         5         7                   5.4                 5.4                 
Pavarde873          Vardas873           1         5         5         7         7         5                   5                   5                   
Pavarde874          Vardas874           3         3         3         8         10        2                   3.4                 2.4                 
Pavarde875          Vardas875           2         6         7         7         8         9                   7.8                 8.2                 
Pavarde876          Vardas876           2         5         5         6         8         6                   5.7                 5.6                 
Pavarde877          Vardas877           1         6         6         7         9         6                   5.9                 6                   
Pavarde878          Vardas878           1         7         9         9         10        4                   5.3                 6                   
Pavarde879          Vardas879           1         2         4         6         7         3                   3.4                 3.4                 
Pavarde880          Vardas880           2         4         5         7         8         6                   5.7                 5.6                 
Pavarde881          Vardas881           2         3         7         7         8         7                   6.4                 7                   
Pavarde882          Vardas882           1         3         4         7         10        6                   5.6                 5.2                 
Pavarde883          Vardas883           2         2         3         5         9         5                   4.7                 4.2                 
Pavarde884          Vardas884           4         6         7         9         9         9                   8.2                 8.2                 
Pavarde885          Vardas885           4         5         6         9         9         7                   6.8                 6.6                 
Pavarde886          Vardas886           3         6         8         9         10        2                   4.1                 4.4                 
Pavarde887          Vardas887           3         3         4         8         10        6                   5.8                 5.2                 
Pavarde888          Vardas888           1         2         5         6         10        8                   6.7                 6.8                 
Pavarde889          Vardas889           3         3         3         10        10        8                   7.1                 6                   
Pavarde890          Vardas890           3         3         4         8         8         10                  8.1                 7.6                 
Pavarde891          Vardas891           1         3         6         7         9         7                   6.3                 6.6                 
Pavarde892          Vardas892           3         5         7         7         10        9                   8                   8.2                 
Pavarde893          Vardas893           4         5         7         9         10        6                   6.4                 6.4                 
Pavarde894          Vardas894           2         2         3         3         8         2                   2.6                 2.4                 
Pavarde895          Vardas895           1         1         2         4         6         4                   3.5                 3.2                 
Pavarde896          Vardas896           3         3         4         5         6         8                   6.5                 6.4                 
Pavarde897          Vardas897           3         6         8         9         10        3                   4.7                 5                   
Pavarde898          Vardas898           2         6         8         9         10        7                   7                   7.4                 
Pavarde899          Vardas899           7         7         8         9         10        6                   6.9                 6.8                 
Pavarde900          Vardas900           1         4         5         9         10        2                   3.5                 3.2                 
Pavarde901          Vardas901           2         3         3         6         9         10                  7.8                 7.2                 
Pavarde902          Vardas902           1         3         7         10        10        9                   7.9                 8.2                 
Pavarde903          Vardas903           1         3         5         8         9         3                   3.9                 3.8                 
Pavarde904          Vardas904           2         3         8         10        10        4                   5                   5.6                 
Pavarde905          Vardas905           3         4         6         10        10        3                   4.4                 4.2                 
Pavarde906          Vardas906           3         3         5         6         8         5                   5                   5                   
Pavarde907          Vardas907           1         3         4         8         8         6                   5.5                 5.2                 
Pavarde908          Vardas908           5         6         9         10        10        4                   5.6                 6                   
Pavarde909          Vardas909           4         5         7         7         9         5                   5.6                 5.8                 
Pavarde910          Vardas910           2         8         9         10        10        10                  9.1                 9.6                 
Pavarde911          Vardas911           2         5         7         8         9         2                   3.7                 4                   
Pavarde912          Vardas912           1         1         1         4         8         9                   6.6                 5.8                 
Pavarde913          Vardas913           4         4         9         9         10        1                   3.5                 4.2                 
Pavarde914          Vardas914           5         7         9         10        10        8                   8.1                 8.4                 
Pavarde915          Vardas915           1         3         5         9         9         5                   5.2                 5                   
Pavarde916          Vardas916           4         6         7         9         10        5                   5.9                 5.8                 
Pavarde917          Vardas917           1         1         7         8         9         6                   5.7                 6.4                 
Pavarde918          Vardas918           1         5         7         8         10        9                   7.9                 8.2                 
Pavarde919          Vardas919           2         3         4         5         5         4                   3.9                 4                   
Pavarde920          Vardas920           3         4         7         7         9         6                   6                   6.4                 
Pavarde921          Vardas921           2         6         6         7         8         7                   6.5                 6.6                 
Pavarde922          Vardas922           1         4         5         7         10        6                   5.8                 5.6                 
Pavarde923          Vardas923           1         7         8         8         9         2                   3.8                 4.4                 
Pavarde924          Vardas924           3         4         5         5         9         9                   7.5                 7.4                 
Pavarde925          Vardas925           4         6         7         8         9         5                   5.7                 5.8                 
Pavarde926          Vardas926           3         3         6         8         10        10                  8.4                 8.4                 
Pavarde927          Vardas927           2         3         4         7         8         3                   3.7                 3.4                 
Pavarde928          Vardas928           2         7         8         10        10        7                   7.2                 7.4                 
Pavarde929          Vardas929           3         4         8         9         9         6                   6.2                 6.8                 
Pavarde930          Vardas930           1         4         4         9         10        3                   4                   3.4                 
Pavarde931          Vardas931           1         4         5         9         9         9                   7.6                 7.4                 
Pavarde932          Vardas932           1         5         7         8         9         10                  8.4                 8.8                 
Pavarde933          Vardas933           2         3         4         7         10        1                   2.7                 2.2                 
Pavarde934          Vardas934           2         4         5         7         9         6                   5.8                 5.6                 
Pavarde935          Vardas935           2         4         5         5         10        2                   3.3                 3.2                 
Pavarde936          Vardas936           5         5         6         7         9         1                   3.2                 3                   
Pavarde937          Vardas937           6         7         7         7         9         2                   4.1                 4                   
Pavarde938          Vardas938           2         2         5         7         9         7                   6.2                 6.2                 
Pavarde939          Vardas939           3         5         8         9         9         5                   5.7                 6.2                 
Pavarde940          Vardas940           1         3         5         6         9         5                   4.9                 5                   
Pavarde941          Vardas941           2         3         5         6         6         10                  7.8                 8                   
Pavarde942          Vardas942           1         2         3         6         7         10                  7.5                 7.2                 
Pavarde943          Vardas943           3         4         6         7         10        10                  8.4                 8.4                 
Pavarde944          Vardas944           5         6         7         8         9         6                   6.4                 6.4                 
Pavarde945          Vardas945           1         8         9         9         10        7                   7.2                 7.8                 
Pavarde946          Vardas946           3         3         4         4         8         10                  7.8                 7.6                 
Pavarde947          Vardas947           1         2         5         8         8         10                  7.9                 8                   
Pavarde948          Vardas948           1         4         7         8         9         9                   7.7                 8.2                 
Pavarde949          Vardas949           2         2         4         9         9         9                   7.5                 7                   
Pavarde950          Vardas950           2         2         4         5         6         3                   3.3                 3.4                 
Pavarde951          Vardas951           1         1         1         1         10        3                   2.9                 2.2                 
Pavarde952          Vardas952           1         2         5         6         8         8                   6.6                 6.8                 
Pavarde953          Vardas953           6         9         9         9         10        2                   4.6                 4.8                 
Pavarde954          Vardas954           1         2         8         9         10        2                   3.6                 4.4                 
Pavarde955          Vardas955           1         4         6         7         9         1                   2.8                 3                   
Pavarde956          Vardas956           4         7         8         9         9         1                   3.6                 3.8                 
Pavarde957          Vardas957           1         2         3         4         9         1                   2.1                 1.8                 
Pavarde958          Vardas958           1         4         9         10        10        3                   4.5                 5.4                 
Pavarde959          Vardas959           1         4         7         8         10        5                   5.4                 5.8                 
Pavarde960          Vardas960           4         4         5         9         9         5                   5.5                 5                   
Pavarde961          Vardas961           1         2         4         8         9         10                  7.9                 7.6                 
Pavarde962          Vardas962           1         3         4         5         8         9                   7.1                 7                   
Pavarde963          Vardas963           1         1         3         5         7         1                   2                   1.8                 
Pavarde964          Vardas964           4         6         7         7         10        2                   3.9                 4                   
Pavarde965          Vardas965           2         5         5         6         9         6                   5.8                 5.6                 
Pavarde966          Vardas966           1         7         9         9         9         7                   7                   7.8                 
Pavarde967          Vardas967           1         6         7         9         10        2                   3.8                 4                   
Pavarde968          Vardas968           4         5         5         7         10        8                   7.3                 6.8                 
Pavarde969          Vardas969           1         1         7         9         9         8                   7                   7.6                 
Pavarde970          Vardas970           4         5         6         8         8         7                   6.7                 6.6                 
Pavarde971          Vardas971           1         4         7         9         10        3                   4.3                 4.6                 
Pavarde972          Vardas972           1         3         4         7         7         9                   7.2                 7                   
Pavarde973          Vardas973           2         2         7         7         8         9                   7.5                 8.2                 
Pavarde974          Vardas974           2         5         5         6         7         1                   2.6                 2.6                 
Pavarde975          Vardas975           1         7         9         9         10        6                   6.5                 7.2                 
Pavarde976          Vardas976           3         8         8         8         10        4                   5.4                 5.6                 
Pavarde977          Vardas977           1         1         2         3         10        4                   3.8                 3.2                 
Pavarde978          Vardas978           1         2         2         8         8         7                   5.9                 5                   
Pavarde979          Vardas979           3         3         3         6         8         10                  7.8                 7.2                 
Pavarde980          Vardas980           1         7         7         8         9         9                   8                   8.2                 
Pavarde981          Vardas981           1         3         3         3         5         9                   6.6                 6.6                 
Pavarde982          Vardas982           2         3         3         5         9         10                  7.8                 7.2                 
Pavarde983          Vardas983           1         6         7         8         9         7                   6.7                 7                   
Pavarde984          Vardas984           3         5         7         8         10        8                   7.4                 7.6                 
Pavarde985          Vardas985           1         4         6         7         10        2                   3.4                 3.6                 
Pavarde986          Vardas986           2         2         5         7         10        8                   6.9                 6.8                 
Pavarde987          Vardas987           1         5         5         7         9         6                   5.8                 5.6                 
Pavarde988          Vardas988           4         4         5         6         7         7                   6.3                 6.2                 
Pavarde989          Vardas989           3         7         8         8         10        5                   5.9                 6.2                 
Pavarde990          Vardas990           1         1         3         3         5         5                   4                   4.2                 
Pavarde991          Vardas991           5         6         7         8         9         7                   7                   7                   
Pavarde992          Vardas992           4         5         5         7         8         1                   2.9                 2.6                 
Pavarde993          Vardas993           2         4         6         6         7         3                   3.8                 4.2                 
Pavarde994          Vardas994           1         5         8         9         10        2                   3.8                 4.4                 
Pavarde995          Vardas995           1         6         8         8         10        7                   6.8                 7.4                 
Pavarde996          Vardas996           2         2         4         8         8         6                   5.5                 5.2                 
Pavarde997          Vardas997           2         6         6         8         9         7                   6.7                 6.6                 
Pavarde998          Vardas998           2         3         4         8         8         5                   5                   4.6                 
Pavarde999          Vardas999           1         2         4         4         9         5                   4.6                 4.6                 
Pavarde1000         Vardas1000          2         5         7         7         8         7                   6.5                 7                   
